# Ba  x_lambda  y_lambda
1.3100,8.9323,3.3097
1.3100,17.5290,3.2710
1.3100,22.2812,3.3719
1.3100,15.5500,3.5214
1.3100,1.9519,3.6111
1.3100,5.3276,3.6414
1.3100,12.2786,3.6500
1.3100,7.0214,3.7500
1.3100,10.5821,3.7607
1.3100,19.1367,3.7367
1.3100,13.9276,3.8414
1.3100,20.6586,3.8276
1.3100,3.6276,3.9414
1.3100,23.6724,3.9414
1.3100,8.5500,4.8000
1.3100,16.8367,4.7367
1.3100,1.9586,5.2724
1.3100,21.9500,5.2214
1.3100,5.1800,5.3333
1.3100,11.8586,5.3276
1.3100,15.1414,5.3724
1.3100,18.5821,5.3607
1.3100,6.8214,5.5500
1.3100,10.2276,5.5586
1.3100,13.4889,5.6111
1.3100,20.2586,5.6276
1.3100,3.5724,5.7414
1.3100,23.5679,5.7321
1.3100,8.5500,6.3786
1.3100,16.9500,6.3214
1.3100,1.9321,6.9679
1.3100,21.9276,6.9586
1.3100,5.2414,7.0724
1.3100,12.0111,7.0889
1.3100,15.2724,7.1414
1.3100,18.6786,7.1500
1.3100,6.9179,7.3393
1.3100,10.3586,7.3276
1.3100,13.6414,7.3724
1.3100,20.3200,7.3667
1.3100,3.5500,7.4786
1.3100,23.5414,7.4276
1.3100,16.9500,7.9000
1.3100,8.6633,7.9633
1.3100,1.8276,8.7586
1.3100,21.8724,8.7586
1.3100,4.8414,8.8724
1.3100,11.5724,8.8586
1.3100,6.3633,8.9633
1.3100,14.9179,8.9393
1.3100,18.4786,8.9500
1.3100,13.2214,9.0500
1.3100,20.1724,9.0586
1.3100,23.5481,9.0889
1.3100,9.9500,9.1786
1.3100,3.2188,9.3281
1.3100,16.5677,9.3903
1.3100,7.9710,9.4290
1.3100,22.0586,10.5724
1.3100,5.3500,10.6786
1.3100,18.9414,10.6724
1.3100,1.9000,10.7174
1.3100,10.6214,10.7500
1.3100,12.2500,10.7000
1.3100,13.8704,10.7222
1.3100,15.4846,10.7615
1.3100,20.5548,10.7419
1.3100,23.6040,10.7600
1.3100,3.6679,10.8321
1.3100,6.9808,10.8192
1.3100,8.8846,10.8385
1.3100,17.3393,10.8179
1.3600,3.4414,1.7724
1.3600,12.7633,1.7633
1.3600,14.7367,1.7633
1.3600,1.8192,1.8192
1.3600,5.1276,1.8586
1.3600,8.0897,1.8517
1.3600,9.8000,1.8500
1.3600,17.9097,1.8323
1.3600,22.1833,1.8400
1.3600,23.7214,1.8500
1.3600,6.6367,1.9633
1.3600,16.3143,1.9214
1.3600,19.4091,1.9697
1.3600,11.2367,2.0367
1.3600,20.7188,2.0719
1.3600,13.8088,2.9206
1.3600,3.8290,3.2290
1.3600,8.9367,3.2633
1.3600,1.9414,3.3276
1.3600,17.3710,3.3710
1.3600,22.0194,3.5000
1.3600,23.6500,3.4500
1.3600,5.5903,3.5677
1.3600,12.1367,3.5633
1.3600,15.5214,3.5500
1.3600,7.1724,3.7414
1.3600,18.9500,3.7500
1.3600,10.4857,3.8214
1.3600,20.4094,4.0219
1.3600,13.8500,4.4500
1.3600,3.7853,4.6382
1.3600,1.9500,4.7500
1.3600,8.6710,4.7710
1.3600,16.8000,4.7656
1.3600,23.6000,5.0000
1.3600,11.8724,5.1414
1.3600,21.8500,5.1333
1.3600,5.4724,5.2414
1.3600,18.5367,5.3633
1.3600,15.2500,5.4500
1.3600,6.9800,5.5333
1.3600,10.2500,5.5500
1.3600,20.0667,5.7500
1.3600,13.5500,5.9500
1.3600,3.7581,6.1065
1.3600,1.9400,6.2167
1.3600,8.5500,6.3500
1.3600,16.9500,6.3500
1.3600,23.5600,6.4833
1.3600,21.7419,6.5935
1.3600,11.9500,6.7500
1.3600,5.4333,6.9500
1.3600,15.2500,7.1500
1.3600,18.5200,7.1667
